,statename,state,orientation,identity,overall,totalpop,popper,mainline,evanrate,ideology,obama_share,romney_share,percent_AA,percent_hisp
1,alabama,AL,2.5,-2.5,0,103533,2.8,68.46563847,428.404859,19.0589,0.383590331,0.605458223,37.3,4.1
2,alaska,AK,4.25,0.75,5,18505,3.4,76.97125604,106.6122619,35.44347,0.408126591,0.548015774,32.4,6.1
3,arizona,AZ,5,-1.75,3.25,192362,3.9,19.38155556,87.28140741,3.017494,0.445897669,0.536545332,31.4,30.2
4,arkansas,AR,4,-1.5,2.5,78339,3.5,59.32496296,406.5758667,48.89912,0.368789903,0.605669361,30.1,6.8
5,california,CA,16,14.25,30.25,1152048,4,23.81354776,88.83111111,87.42805,0.602389591,0.371203785,28.48,38.2
6,colorado,CO,13.5,9.25,22.75,126599,3.2,63.32743056,138.464767,72.44034,0.514921452,0.461269839,26.38,21
7,connecticut,CT,12.75,11.25,24,95091,3.4,78.63680556,36.60083333,82.98675,0.580568456,0.407253554,21.6,14.2
8,delaware,DE,10,6,16,24209,3.4,100.6992593,79.34666667,76.57413,0.586063524,0.399796096,20.95,8.6
10,florida,FL,5.5,1.25,6.75,536028,3.5,48.83295191,213.6929685,11.33699,0.500078651,0.491309778,19.91,23.2
11,georgia,GA,4,-3.5,0.5,260044,3.5,66.19459818,331.8538225,3.120583,0.454821605,0.53299009,16.78,9.2
12,hawaii,HI,10,5.5,15.5,55554,5.1,32.98155556,93.27944444,84.90182,0.705452304,0.278389315,15.91,9.5
13,idaho,ID,4.25,-0.5,3.75,31565,2.7,31.24413437,88.65020672,8.784706,0.326223336,0.645297835,15.76,11.6
14,illinois,IL,12.5,9.75,22.25,372825,3.8,129.1168736,218.4554684,83.17535,0.576021354,0.407327413,15.18,16.3
15,indiana,IN,4.75,0.25,5,182997,3.7,119.1996618,191.382657,10.24458,0.439273029,0.541255324,14.88,6.3
16,iowa,IA,10.5,2.5,13,65835,2.8,284.7182492,140.7477666,34.38456,0.519880165,0.461778685,14.46,5.3
17,kansas,KS,4.75,-0.25,4.5,79979,3.7,216.0392381,191.8486032,5.382538,0.379945706,0.597113204,14.24,11
18,kentucky,KY,5.75,-1.25,4.5,131125,3.9,73.87080979,376.6085093,62.28866,0.378013278,0.604931416,12.04,3.2
19,louisiana,LA,3.5,-2.5,1,111491,3.2,38.22758681,288.928941,14.02937,0.405774636,0.577845757,11.91,4.5
20,maine,ME,15,7,22,51037,4.8,75.76194444,44.94951389,67.13589,0.562699459,0.409820803,11.49,1.4
21,maryland,MD,12,8,20,149845,3.3,120.5766667,112.2506481,85.86098,0.619741908,0.358977323,10.79,8.7
22,massachusetts,MA,14.25,9,23.25,230768,4.4,59.39087302,29.9,91.44836,0.606512411,0.375126706,10.34,10.1
